Date,Open,High,Low,Close,Volume,Change_%,Trend,Range,Range_%,Gap,Gap_%,RSI_14,MACD,MACD_Signal,MACD_Hist,ROC_10,ATR_14,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_%B,Volatility_20,OBV,Volume_MA20,Volume_Ratio,VWAP_Cumulative,Lag_1,Lag_2,Lag_3,Lag_5,Return_1,Return_3,Return_5,Rolling_High_10,Rolling_Low_10,Rolling_High_20,Rolling_Low_20,Pct_From_High_20,Pct_From_Low_20
17-04-2026,24165.900390625,24371.900390625,24096.05078125,24353.55078125,498600,0.648,Positive,275.85,1.14,-30.85,-0.13,57.1116,-15.922,-246.5012,230.5792,7.3818,444.33,23364.49,24589.93,22139.05,0.1049,0.9036,27.6519,74229600,520975,0.9571,14295.99,24196.75,24231.3,23842.65,23775.1,0.648,2.1428,2.433,24400.95,22182.55,24400.95,22182.55,-0.1943,9.787
16-04-2026,24385.19922,24400.94922,24102.80078,24196.75,508000,-0.1426,Negative,298.15,1.24,153.9,0.64,55.3947,-75.1209,-304.146,229.0251,8.353,457.29,23317.25,24456.34,22178.16,0.0977,0.8861,27.7991,73731000,523060,0.9712,14290.9,24231.3,23842.65,24050.6,23997.35,-0.1426,0.6077,0.8309,24400.95,22182.55,24400.95,22182.55,-0.8369,9.0801
15-04-2026,24163.80078,24280.90039,24145.80078,24231.30078,460300,1.6301,Positive,135.1,0.56,321.15,1.35,55.8522,-133.6224,-361.4023,227.7799,6.1864,469.53,23264.97,24331.46,22198.48,0.0917,0.953,28.9676,74239000,523650,0.879,14285.73,23842.65,24050.6,23775.1,23123.65,1.6301,1.9188,4.7901,24280.9,22182.55,24280.9,22182.55,-0.2043,9.2359
13-04-2026,23589.59961,23907.40039,23555.59961,23842.65039,488800,-0.8646,Negative,351.8,1.49,-461.0,-1.92,51.6844,-209.8659,-418.3473,208.4814,2.3007,471.93,23235.36,24222.86,22247.87,0.085,0.8075,28.6477,73778700,525685,0.9298,14281.05,24050.6,23775.1,23997.35,22968.25,-0.8646,-0.6447,3.807,24074.05,22182.55,24074.05,22182.55,-0.9612,7.4838
10-04-2026,23880.55078,24074.05078,23856.34961,24050.59961,481300,1.1588,Positive,217.7,0.91,105.45,0.44,54.2279,-264.5561,-470.4676,205.9115,4.9676,470.16,23236.57,24227.1,22246.05,0.0853,0.9109,29.084,74267500,521615,0.9227,14276.3,23775.1,23997.35,23123.65,22713.1,1.1588,4.0087,5.8887,24074.05,22182.55,24299.0,22182.55,-1.0223,8.4213
09-04-2026,23909.05078,23990.75,23682.80078,23775.09961,466600,-0.9261,Negative,307.95,1.3,-88.3,-0.37,51.2782,-351.6856,-521.9455,170.2599,5.6077,483.33,23247.12,24275.86,22218.39,0.0885,0.7566,28.9905,73786200,519765,0.8977,14271.51,23997.35,23123.65,22968.25,22679.4,-0.9261,3.5129,4.8313,24025.15,22182.55,24303.8,22182.55,-2.1754,7.1793
08-04-2026,23855.15039,24025.15039,23828.5,23997.34961,639300,3.7784,Positive,196.65,0.83,731.5,3.16,53.8791,-429.7281,-564.5104,134.7823,3.8195,496.31,23259.77,24319.9,22199.64,0.0912,0.8479,29.4562,74252800,522780,1.2229,14266.94,23123.65,22968.25,22713.1,22331.4,3.7784,5.6542,7.4601,24025.15,22182.55,24303.8,22182.55,-1.2609,8.1812
07-04-2026,22838.69922,23153.84961,22719.30078,23123.65039,477000,0.6766,Positive,434.55,1.91,-129.55,-0.56,43.3992,-545.7172,-598.206,52.4888,0.5282,465.14,23282.43,24421.09,22143.76,0.0978,0.4303,26.041,73613500,512485,0.9308,14260.59,22968.25,22713.1,22679.4,22819.6,0.6766,1.9588,1.3324,23465.35,22182.55,24700.9,22182.55,-6.3854,4.2425
06-04-2026,22780.30078,22998.34961,22542.94922,22968.25,426400,1.1234,Positive,455.4,2.02,67.2,0.3,41.1922,-596.8654,-611.3282,14.4628,-3.4046,467.5,23364.54,24670.18,22058.9,0.1118,0.3482,26.3472,73136500,513850,0.8298,14256.31,22713.1,22679.4,22331.4,23306.45,1.1234,2.8518,-1.4511,23465.35,22182.55,24854.2,22182.55,-7.5881,3.542
02-04-2026,22383.40039,22782.30078,22182.55078,22713.09961,495100,0.1486,Positive,599.75,2.7,-296.0,-1.31,37.4753,-637.6448,-614.9439,-22.7009,-3.6811,468.43,23440.15,24818.37,22061.93,0.1176,0.2362,26.1256,72710100,522480,0.9476,14252.55,22679.4,22331.4,22819.6,22912.4,0.1486,-0.4667,-0.8698,23862.25,22182.55,24854.2,22182.55,-8.6146,2.3917
