Date,Day,Type,Holiday
2026-01-03,Saturday,Weekend,
2026-01-04,Sunday,Weekend,
2026-01-10,Saturday,Weekend,
2026-01-11,Sunday,Weekend,
2026-01-15,Thursday,Holiday,Municipal Corporation Election - Maharashtra
2026-01-17,Saturday,Weekend,
2026-01-18,Sunday,Weekend,
2026-01-24,Saturday,Weekend,
2026-01-25,Sunday,Weekend,
2026-01-26,Monday,Holiday,Republic Day
2026-01-31,Saturday,Weekend,
2026-02-01,Sunday,Weekend,
2026-02-07,Saturday,Weekend,
2026-02-08,Sunday,Weekend,
2026-02-14,Saturday,Weekend,
2026-02-15,Sunday,Weekend,Mahashivratri
2026-02-21,Saturday,Weekend,
2026-02-22,Sunday,Weekend,
2026-02-28,Saturday,Weekend,
2026-03-01,Sunday,Weekend,
2026-03-03,Tuesday,Holiday,Holi
2026-03-07,Saturday,Weekend,
2026-03-08,Sunday,Weekend,
2026-03-14,Saturday,Weekend,
2026-03-15,Sunday,Weekend,
2026-03-21,Saturday,Weekend,Id-Ul-Fitr (Ramadan Eid)
2026-03-22,Sunday,Weekend,
2026-03-26,Thursday,Holiday,Shri Ram Navami
2026-03-28,Saturday,Weekend,
2026-03-29,Sunday,Weekend,
2026-03-31,Tuesday,Holiday,Shri Mahavir Jayanti
2026-04-03,Friday,Holiday,Good Friday
2026-04-04,Saturday,Weekend,
2026-04-05,Sunday,Weekend,
2026-04-11,Saturday,Weekend,
2026-04-12,Sunday,Weekend,
2026-04-14,Tuesday,Holiday,Dr. Baba Saheb Ambedkar Jayanti
2026-04-18,Saturday,Weekend,
2026-04-19,Sunday,Weekend,
2026-04-25,Saturday,Weekend,
2026-04-26,Sunday,Weekend,
2026-05-01,Friday,Holiday,Maharashtra Day
2026-05-02,Saturday,Weekend,
2026-05-03,Sunday,Weekend,
2026-05-09,Saturday,Weekend,
2026-05-10,Sunday,Weekend,
2026-05-16,Saturday,Weekend,
2026-05-17,Sunday,Weekend,
2026-05-23,Saturday,Weekend,
2026-05-24,Sunday,Weekend,
2026-05-28,Thursday,Holiday,Bakri Id
2026-05-30,Saturday,Weekend,
2026-05-31,Sunday,Weekend,
2026-06-06,Saturday,Weekend,
2026-06-07,Sunday,Weekend,
2026-06-13,Saturday,Weekend,
2026-06-14,Sunday,Weekend,
2026-06-20,Saturday,Weekend,
2026-06-21,Sunday,Weekend,
2026-06-26,Friday,Holiday,Muharram
2026-06-27,Saturday,Weekend,
2026-06-28,Sunday,Weekend,
2026-07-04,Saturday,Weekend,
2026-07-05,Sunday,Weekend,
2026-07-11,Saturday,Weekend,
2026-07-12,Sunday,Weekend,
2026-07-18,Saturday,Weekend,
2026-07-19,Sunday,Weekend,
2026-07-25,Saturday,Weekend,
2026-07-26,Sunday,Weekend,
2026-08-01,Saturday,Weekend,
2026-08-02,Sunday,Weekend,
2026-08-08,Saturday,Weekend,
2026-08-09,Sunday,Weekend,
2026-08-15,Saturday,Weekend,Independence Day
2026-08-16,Sunday,Weekend,
2026-08-22,Saturday,Weekend,
2026-08-23,Sunday,Weekend,
2026-08-29,Saturday,Weekend,
2026-08-30,Sunday,Weekend,
2026-09-05,Saturday,Weekend,
2026-09-06,Sunday,Weekend,
2026-09-12,Saturday,Weekend,
2026-09-13,Sunday,Weekend,
2026-09-14,Monday,Holiday,Ganesh Chaturthi
2026-09-19,Saturday,Weekend,
2026-09-20,Sunday,Weekend,
2026-09-26,Saturday,Weekend,
2026-09-27,Sunday,Weekend,
2026-10-02,Friday,Holiday,Mahatma Gandhi Jayanti
2026-10-03,Saturday,Weekend,
2026-10-04,Sunday,Weekend,
2026-10-10,Saturday,Weekend,
2026-10-11,Sunday,Weekend,
2026-10-17,Saturday,Weekend,
2026-10-18,Sunday,Weekend,
2026-10-20,Tuesday,Holiday,Dussehra
2026-10-24,Saturday,Weekend,
2026-10-25,Sunday,Weekend,
2026-10-31,Saturday,Weekend,
2026-11-01,Sunday,Weekend,
2026-11-07,Saturday,Weekend,
2026-11-08,Sunday,Weekend,Diwali Laxmi Pujan*
2026-11-10,Tuesday,Holiday,Diwali-Balipratipada
2026-11-14,Saturday,Weekend,
2026-11-15,Sunday,Weekend,
2026-11-21,Saturday,Weekend,
2026-11-22,Sunday,Weekend,
2026-11-24,Tuesday,Holiday,Prakash Gurpurb Sri Guru Nanak Dev
2026-11-28,Saturday,Weekend,
2026-11-29,Sunday,Weekend,
2026-12-05,Saturday,Weekend,
2026-12-06,Sunday,Weekend,
2026-12-12,Saturday,Weekend,
2026-12-13,Sunday,Weekend,
2026-12-19,Saturday,Weekend,
2026-12-20,Sunday,Weekend,
2026-12-25,Friday,Holiday,Christmas
2026-12-26,Saturday,Weekend,
2026-12-27,Sunday,Weekend,
